State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,Thermo Electron Model RAAS2.5-300 Sequential w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,115,94,Y,115,122,0,8,0,0,Certified,0,10.526087,4.825028,24.9,2017-08-29 0:00,22.7,2017-11-12 0:00,21.2,2017-11-15 0:00,20.6,2017-10-19 0:00,,,,,22.7,21.2,19.2,16.7,14.1,10,4.9,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,Thermo Electron Model RAAS2.5-300 Sequential w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,115,94,Y,115,122,0,8,0,0,Certified,0,10.526087,4.825028,24.9,2017-08-29 0:00,22.7,2017-11-12 0:00,21.2,2017-11-15 0:00,20.6,2017-10-19 0:00,,,,,22.7,21.2,19.2,16.7,14.1,10,4.9,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Thermo Electron Model RAAS2.5-300 Sequential w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,115,94,Y,115,122,0,8,0,0,Certified,0,10.526087,4.825028,24.9,2017-08-29 0:00,22.7,2017-11-12 0:00,21.2,2017-11-15 0:00,20.6,2017-10-19 0:00,,,,,22.7,21.2,19.2,16.7,14.1,10,4.9,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2024,Daily Mean,Thermo Electron Model RAAS2.5-300 Sequential w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,115,94,Y,115,122,0,8,0,0,Certified,0,10.526087,4.825028,24.9,2017-08-29 0:00,22.7,2017-11-12 0:00,21.2,2017-11-15 0:00,20.6,2017-10-19 0:00,,,,,22.7,21.2,19.2,16.7,14.1,10,4.9,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
6,37,1201,88101,1,34.19925,-118.53276,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,Thermo Electron Model RAAS2.5-300 Sequential w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,109,89,Y,109,122,0,13,0,0,Certified,0,9.712844,5.263591,35.2,2017-12-15 0:00,31.2,2017-12-24 0:00,20.7,2017-12-30 0:00,20,2017-12-27 0:00,,,,,31.2,20.7,18.7,14.8,12.5,9.2,4.2,Reseda,"18330 GAULT ST., RESEDA",California,Los Angeles,Reseda,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
6,37,1201,88101,1,34.19925,-118.53276,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,Thermo Electron Model RAAS2.5-300 Sequential w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,109,89,Y,109,122,0,13,0,0,Certified,0,9.712844,5.263591,35.2,2017-12-15 0:00,31.2,2017-12-24 0:00,20.7,2017-12-30 0:00,20,2017-12-27 0:00,,,,,31.2,20.7,18.7,14.8,12.5,9.2,4.2,Reseda,"18330 GAULT ST., RESEDA",California,Los Angeles,Reseda,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
6,37,1201,88101,1,34.19925,-118.53276,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Thermo Electron Model RAAS2.5-300 Sequential w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,109,89,Y,109,122,0,13,0,0,Certified,0,9.712844,5.263591,35.2,2017-12-15 0:00,31.2,2017-12-24 0:00,20.7,2017-12-30 0:00,20,2017-12-27 0:00,,,,,31.2,20.7,18.7,14.8,12.5,9.2,4.2,Reseda,"18330 GAULT ST., RESEDA",California,Los Angeles,Reseda,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
6,37,1201,88101,1,34.19925,-118.53276,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2024,Daily Mean,Thermo Electron Model RAAS2.5-300 Sequential w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,109,89,Y,109,122,0,13,0,0,Certified,0,9.712844,5.263591,35.2,2017-12-15 0:00,31.2,2017-12-24 0:00,20.7,2017-12-30 0:00,20,2017-12-27 0:00,,,,,31.2,20.7,18.7,14.8,12.5,9.2,4.2,Reseda,"18330 GAULT ST., RESEDA",California,Los Angeles,Reseda,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
6,37,1302,88101,1,33.901389,-118.205,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,Thermo Electron Model RAAS2.5-300 Sequential w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,120,98,Y,120,122,0,4,1,1,Certified,0,13.241667,9.724392,66.7,2017-12-24 0:00,57.6,2017-12-27 0:00,53.4,2017-01-01 0:00,41.3,2017-12-30 0:00,,,,,57.6,53.4,31.3,22.3,14.8,10.8,5.7,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
6,37,1302,88101,1,33.901389,-118.205,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,Thermo Electron Model RAAS2.5-300 Sequential w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,120,98,Y,120,122,0,4,5,5,Certified,0,13.241667,9.724392,66.7,2017-12-24 0:00,57.6,2017-12-27 0:00,53.4,2017-01-01 0:00,41.3,2017-12-30 0:00,,,,,57.6,53.4,31.3,22.3,14.8,10.8,5.7,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
