State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,333,91,Y,333,366,0,33,5,5,Uncertified (past due),0,20.054054,13.003538,92.5,2000-10-20 0:00,79.3,2000-12-02 0:00,77.9,2000-12-24 0:00,75.2,2000-10-18 0:00,,,,,75.2,61.6,43.8,33.7,24,18.3,7,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,333,91,Y,333,366,0,33,30,30,Uncertified (past due),0,20.054054,13.003538,92.5,2000-10-20 0:00,79.3,2000-12-02 0:00,77.9,2000-12-24 0:00,75.2,2000-10-18 0:00,,,,,75.2,61.6,43.8,33.7,24,18.3,7,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,333,91,Y,333,366,0,33,30,30,Uncertified (past due),0,20.054054,13.003538,92.5,2000-10-20 0:00,79.3,2000-12-02 0:00,77.9,2000-12-24 0:00,75.2,2000-10-18 0:00,,,,,75.2,61.6,43.8,33.7,24,18.3,7,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2024,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,333,91,Y,333,366,0,33,30,30,Uncertified (past due),0,20.054054,13.003538,92.5,2000-10-20 0:00,79.3,2000-12-02 0:00,77.9,2000-12-24 0:00,75.2,2000-10-18 0:00,,,,,75.2,61.6,43.8,33.7,24,18.3,7,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1002,88101,1,34.17605,-118.31712,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,70,57,N,70,122,0,52,3,3,Uncertified (past due),0,23.738571,15.172919,84.4,2000-10-18 0:00,83,2000-12-23 0:00,67.5,2000-11-29 0:00,56,2000-12-02 0:00,,,,,84.4,83,56,38.5,27.3,21.7,8.8,Burbank,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1002,88101,1,34.17605,-118.31712,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,70,57,N,70,122,0,52,9,9,Uncertified (past due),0,23.738571,15.172919,84.4,2000-10-18 0:00,83,2000-12-23 0:00,67.5,2000-11-29 0:00,56,2000-12-02 0:00,,,,,84.4,83,56,38.5,27.3,21.7,8.8,Burbank,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1002,88101,1,34.17605,-118.31712,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,70,57,N,70,122,0,52,9,9,Uncertified (past due),0,23.738571,15.172919,84.4,2000-10-18 0:00,83,2000-12-23 0:00,67.5,2000-11-29 0:00,56,2000-12-02 0:00,,,,,84.4,83,56,38.5,27.3,21.7,8.8,Burbank,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1002,88101,1,34.17605,-118.31712,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2024,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,70,57,N,70,122,0,52,9,9,Uncertified (past due),0,23.738571,15.172919,84.4,2000-10-18 0:00,83,2000-12-23 0:00,67.5,2000-11-29 0:00,56,2000-12-02 0:00,,,,,84.4,83,56,38.5,27.3,21.7,8.8,Burbank,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,334,91,Y,334,366,0,30,11,11,Uncertified (past due),0,22.018263,14.332927,87.8,2000-12-01 0:00,84.6,2000-10-20 0:00,80.8,2000-12-24 0:00,75.5,2000-11-30 0:00,,,,,75.5,72.8,54.2,36.4,25.7,18.4,9.3,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,334,91,Y,334,366,0,30,42,42,Uncertified (past due),0,22.018263,14.332927,87.8,2000-12-01 0:00,84.6,2000-10-20 0:00,80.8,2000-12-24 0:00,75.5,2000-11-30 0:00,,,,,75.5,72.8,54.2,36.4,25.7,18.4,9.3,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
